epoch,accuracy,loss,val_accuracy,val_loss
0,0.37973982095718384,1.3238710165023804,0.44668588042259216,1.286407232284546
1,0.6551342606544495,0.9884820580482483,0.6426513195037842,0.961776852607727
2,0.7993357181549072,0.5835575461387634,0.6858789920806885,0.8291361331939697
3,0.8469415903091431,0.4195048213005066,0.6945244669914246,0.828159749507904
4,0.8865209221839905,0.32455456256866455,0.7002881765365601,0.8671612739562988
5,0.9086631536483765,0.26492640376091003,0.7031700015068054,0.9236642718315125
6,0.9291447401046753,0.21599218249320984,0.6974063515663147,0.968189001083374
7,0.9435372352600098,0.1771254688501358,0.6916426420211792,1.052469253540039
8,0.9490727782249451,0.15762561559677124,0.6974063515663147,1.115365743637085
9,0.9587600231170654,0.13232697546482086,0.6858789920806885,1.1670665740966797
10,0.9637420177459717,0.11591573804616928,0.6974063515663147,1.2020237445831299
11,0.9676169157028198,0.10196207463741302,0.6829971075057983,1.2564141750335693
12,0.9690008163452148,0.1045980378985405,0.6916426420211792,1.2988526821136475
13,0.9684472680091858,0.09314341843128204,0.6714697480201721,1.3529996871948242
14,0.9731525182723999,0.08169948309659958,0.6829971075057983,1.379241943359375
15,0.9745364189147949,0.08175265043973923,0.680115282535553,1.3989214897155762
16,0.9761970639228821,0.07924778759479523,0.6685879230499268,1.4430363178253174
17,0.975643515586853,0.06986693292856216,0.6945244669914246,1.4919078350067139
18,0.975643515586853,0.07449130713939667,0.6974063515663147,1.4820966720581055
19,0.9759202599525452,0.07381503283977509,0.6916426420211792,1.4915927648544312
20,0.9767506122589111,0.0641518160700798,0.6974063515663147,1.5292428731918335
21,0.974259614944458,0.06690283119678497,0.6829971075057983,1.5484811067581177
22,0.9786880612373352,0.0607139952480793,0.6829971075057983,1.5663939714431763
23,0.9775809645652771,0.06478474289178848,0.680115282535553,1.551135540008545
24,0.9778577089309692,0.059349026530981064,0.6916426420211792,1.6827300786972046
